report_id,source,source_type,sif_potential_weak_label,label_basis,date,country,function,cause,activity,primary_life_saving_rule,secondary_life_saving_rule,narrative,what_went_wrong,corrective_actions,causal_factors,model_input
IOGP-HPE-2025-030,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,31 Mar 2025,Romania,Production,Dropped objects,"Drilling, workover, well operations",Line of fire,Bypassing safety controls,Sucker rod broke consequently elevator dropped.,"Overpull due to wax caused the sucker rod to break, impact ejected the elevator out of the hook.","Optimise inhibitor, ensure max overpull is not exceeded according to the sucker rod manufacturer.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment","NARRATIVE: Sucker rod broke consequently elevator dropped. | WHAT WENT WRONG: Overpull due to wax caused the sucker rod to break, impact ejected the elevator out of the hook. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate/defective tools/equipment/ materials/products PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment"
IOGP-HPE-2025-031,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,08 Sep 2025,UK,Production,"Caught in, under or between (excl. dropped objects)","Lifting, crane, rigging, deck operations",Line of fire,Safe mechanical lifting,"During platform crane lifting operations to land a container on the main deck North landing, the IP sustained a crush/impact injury to shoulder/ribs. The crane and container were made safe and the individual treated by platform advanced first aider followed by coastguard medevac for further assessment.","• No verbal communication from banksman to crane operator of bridle being located in skip or not yet disconnected at time of verbal instruction ""Up on your line"". • Banksman did not give clear communications to the crane operator and no use of confirmatory communications / protocols. • No agreed set terminology or signals for free hook. 30 EUROPE ONSHORE • No information passed to crane operator that the hook was in the skip and there were issues with disconnecting it. • No crane motion instruction should have been issued by the banksman to the crane operator whilst the slinger was in the line of fire position. • Poor communications led to assumption by crane operator that the hook was free. • Banksman did not instruct Slinger to move out of Line of Fire prior to instructing Crane Op to go ""Up on your line"".","There is no such thing as a routine activity – there are only repeat activities under different conditions that each needs to be understood and risk assessed. Maintain vigilance at all times. Safety Critical verbal communications need to be clear, concise and unambiguous to minimise the risk of incorrect interpretation. In safety critical tasks where there is no visual contact between work party members, confirmatory verbal communication should be used to verify understanding of commands (e.g. blind lifts, applying inhibits). Hazards may be constantly changing in nature throughout an activity. Wherever possible, removing the hazard or work parties' exposure to the hazard should be the priority in risk assessment– in this case “line of fire”. CAUSALE FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Failure to warn of hazard PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication",,"NARRATIVE: During platform crane lifting operations to land a container on the main deck North landing, the IP sustained a crush/impact injury to shoulder/ribs. The crane and container were made safe and the individual treated by platform advanced first aider followed by coastguard medevac for further assessment. | WHAT WENT WRONG: • No verbal communication from banksman to crane operator of bridle being located in skip or not yet disconnected at time of verbal instruction ""Up on your line"". • Banksman did not give clear communications to the crane operator and no use of confirmatory communications / protocols. • No agreed set terminology or signals for free hook. 30 EUROPE ONSHORE • No information passed to crane operator that the hook was in the skip and there were issues with disconnecting it. • No crane motion instruction should have been issued by the banksman to the crane operator whilst the slinger was in the line of fire position. • Poor communications led to assumption by crane operator that the hook was free. • Banksman did not instruct Slinger to move out of Line of Fire prior to instructing Crane Op to go ""Up on your line"". | CAUSAL FACTORS: "
IOGP-HPE-2025-032,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,11 Oct 2025,UK,Production,"Explosion, fire or burns",Production operations,Bypassing safety controls,Work authorization,Loss of Primary Containment – Methanol Release.,Inadequate mental of physical ability/ergonomic.,None issued.,No Causal Factors Allocated 31,NARRATIVE: Loss of Primary Containment – Methanol Release. | WHAT WENT WRONG: Inadequate mental of physical ability/ergonomic. | CAUSAL FACTORS: No Causal Factors Allocated 31
IOGP-HPE-2025-033,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,14 Oct 2025,UK,Construction,"Caught in, under or between (excl. dropped objects)","Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,"Jack failed, with load moving towards personnel. No injuries however fatality as worst case potential outcome.",Failure of lifting equipment.,Use of only appropriate equipment issued for work scopes.,PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment,"NARRATIVE: Jack failed, with load moving towards personnel. No injuries however fatality as worst case potential outcome. | WHAT WENT WRONG: Failure of lifting equipment. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment"
IOGP-HPE-2025-034,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,23 Sep 2025,UK,Construction,Dropped objects,"Construction, commissioning, decommissioning",Working at height,Line of fire,Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates fatality as worst case potential outcome.,Scaffold pole dropped to deck below during handling activities.,Handling of scaffold poles. Appropriate barriering off of areas.,PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment 32,NARRATIVE: Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates fatality as worst case potential outcome. | WHAT WENT WRONG: Scaffold pole dropped to deck below during handling activities. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment 32
IOGP-HPE-2025-035,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,18 Oct 2025,UK,Construction,Dropped objects,"Construction, commissioning, decommissioning",Working at height,Line of fire,Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates fatality as worst case potential outcome.,Scaffold pole dropped to deck below during handling activities.,Handling of scaffold poles. Appropriate barriering off of areas.,PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Failure to report/learn from events EUROPE ONSHORE 33,NARRATIVE: Scaffold pole dropped to deck during handling operations. No injuries however dropped object calculator indicates fatality as worst case potential outcome. | WHAT WENT WRONG: Scaffold pole dropped to deck below during handling activities. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Deviation unintentional (by individual or group) PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Failure to report/learn from events EUROPE ONSHORE 33
IOGP-HPE-2025-036,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,05 Mar 2025,Netherlands,Production,"Caught in, under or between (excl. dropped objects)","Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,"A forklift driver’s ankle was struck by a spreader bar during offloading from a truck at the logistics base. There were no lifting pockets welded onto the bar. In past lifting operations, the spreader bar had been placed on wooden blocks on the truck bed and lifted directly on the forks of a forklift. This time the wooden blocks were not in place. The truck driver and the forklift driver decided to lift the spreader bar off the truck by hooking hoisting slings attached to the spreader bar and to the forklift forks, crossing them to reduce the length of the slings. During hoisting, the spreader bar rotated and swung into the forklift cabin, hitting the driver’s ankle. The forklift cabin door had been left open to improve communication between the drivers.","1. Uncontrolled movement of the spreader bar due to hoisting the bar with slings hung from the forklift forks. 2. Forklift door left open for verbal communication. 3. Use of incorrect equipment to carry out the lift - it is forbidden to put slings directly onto the forks of a forklift, the spreader bar was not equipped with forklift pockets, a forklift hoisting adaptor was not available, a crane lift should have been utilised. 4. No lifting plan, job instructions or procedures in place, thus no management of change applied. 5. Inadequate induction and training for forklift drivers and visiting truck drivers. 6. Supervisor absent due to long-lasting illness, no official replacement. 7. High turnover of personnel at the logistics base.","1. Ensure all lifts performed with Forklift are covered by a procedure or lifting plan. 2. Specify the requirements for lifting operations in site training and induction programmes for the appropriate supply base personnel. 3. Check that the equipment needed to adapt forklifts for the expected loads is in place at site, and Operators are trained to safely use it.","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Organizational: Inadequate training/competence EUROPE OFFSHORE 34 PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision","NARRATIVE: A forklift driver’s ankle was struck by a spreader bar during offloading from a truck at the logistics base. There were no lifting pockets welded onto the bar. In past lifting operations, the spreader bar had been placed on wooden blocks on the truck bed and lifted directly on the forks of a forklift. This time the wooden blocks were not in place. The truck driver and the forklift driver decided to lift the spreader bar off the truck by hooking hoisting slings attached to the spreader bar and to the forklift forks, crossing them to reduce the length of the slings. During hoisting, the spreader bar rotated and swung into the forklift cabin, hitting the driver’s ankle. The forklift cabin door had been left open to improve communication between the drivers. | WHAT WENT WRONG: 1. Uncontrolled movement of the spreader bar due to hoisting the bar with slings hung from the forklift forks. 2. Forklift door left open for verbal communication. 3. Use of incorrect equipment to carry out the lift - it is forbidden to put slings directly onto the forks of a forklift, the spreader bar was not equipped with forklift pockets, a forklift hoisting adaptor was not available, a crane lift should have been utilised. 4. No lifting plan, job instructions or procedures in place, thus no management of change applied. 5. Inadequate induction and training for forklift drivers and visiting truck drivers. 6. Supervisor absent due to long-lasting illness, no official replacement. 7. High turnover of personnel at the logistics base. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Organizational: Inadequate training/competence EUROPE OFFSHORE 34 PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate supervision"
IOGP-HPE-2025-037,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,01 Sep 2025,Norway,Drilling,Falls from height,"Construction, commissioning, decommissioning",Working at height,Work authorization,"On an offshore drilling rig, on 1 September 2025, personnel and marine crew were installing handrails on top of a unit on the main deck. Handrail sections (60–90 kg) were lifted by deck crane to the top of the unit, where an operator worked at height to receive and install them, using fall-arrest equipment. The operator initially attached his lanyard to the stairs, then to handrail, and later to another section to reach the final corner section. To fit the last section, he had to lift and adjust some of the handrail. The locking pins were weakly retained and the chain/carabiner secondary securing arrangement did not prevent them from sliding out. The section of the handrail tilted and fell, pulling the operator with it. He fell approximately 4.3 m to deck, landing partly on the fallen handrail. The incident resulted in an LTI and a dropped object with calculated energy of 2733 J, with assessed potential for a single fatality.","The units were not designed to support safe work at height: the only structurally adequate anchoring points (lifting eyes) were located below top deck level and were occupied by lifting bridles during installation, leaving no suitable anchor points available. The operator therefore clipped his fall-arrest lanyard to a handrail section that was only temporarily secured by a pin, chain, and carabiner. The handrail securing design was inherently weak; on the short side of the container, the locking pin had only ~2 mm mechanical engagement and could easily slide out, and the chain/carabiner arrangement offered a false sense of security. The installation and commissioning procedure mentioned work at height and scaffolding, but did not clearly explain how the handrails should be installed or secured, nor the purpose or requirement for scaffold. No scaffold was erected, and the crew changed the intended installation sequence, requiring lifting and moving the section used as an anchor. Competence requirements for work at height (Norog 113) were not formalised in the competence matrix; several involved personnel lacked formal practical WAH training and were unaware of approved anchor point requirements. Project planning and follow-up from onshore were insufficient, and the contractor equipment checklist process was not effectively applied.","Work at height must never rely on temporary structures (such as partially installed handrails) as anchoring points. Units that require routine or installation work at height must be designed with suitable, certified anchor points, or work must be carried out from properly designed scaffolding or other engineered access solutions. Competence requirements for working at height (incl. practical training and anchor-point assessment) must be explicitly built into contractor competence matrices and verified before mobilisation. Installation and commissioning procedures for vendor packages must clearly describe safe installation methods, including detailed handrail installation sequences, locking mechanisms, and when scaffolding is mandatory. Work permits that bundle many high- risk activities can obscure critical controls; large scopes should be broken into smaller work procedures where necessary to ensure hazards and controls are fully understood. A robust equipment and project-follow-up process is needed, including use of the correct contractor equipment checklist and clear assignment of onshore and offshore responsibility for installation planning and oversight. EUROPE OFFSHORE 35","PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Personal Protective Equipment not used or used improperly PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment","NARRATIVE: On an offshore drilling rig, on 1 September 2025, personnel and marine crew were installing handrails on top of a unit on the main deck. Handrail sections (60–90 kg) were lifted by deck crane to the top of the unit, where an operator worked at height to receive and install them, using fall-arrest equipment. The operator initially attached his lanyard to the stairs, then to handrail, and later to another section to reach the final corner section. To fit the last section, he had to lift and adjust some of the handrail. The locking pins were weakly retained and the chain/carabiner secondary securing arrangement did not prevent them from sliding out. The section of the handrail tilted and fell, pulling the operator with it. He fell approximately 4.3 m to deck, landing partly on the fallen handrail. The incident resulted in an LTI and a dropped object with calculated energy of 2733 J, with assessed potential for a single fatality. | WHAT WENT WRONG: The units were not designed to support safe work at height: the only structurally adequate anchoring points (lifting eyes) were located below top deck level and were occupied by lifting bridles during installation, leaving no suitable anchor points available. The operator therefore clipped his fall-arrest lanyard to a handrail section that was only temporarily secured by a pin, chain, and carabiner. The handrail securing design was inherently weak; on the short side of the container, the locking pin had only ~2 mm mechanical engagement and could easily slide out, and the chain/carabiner arrangement offered a false sense of security. The installation and commissioning procedure mentioned work at height and scaffolding, but did not clearly explain how the handrails should be installed or secured, nor the purpose or requirement for scaffold. No scaffold was erected, and the crew changed the intended installation sequence, requiring lifting and moving the section used as an anchor. Competence requirements for work at height (Norog 113) were not formalised in the competence matrix; several involved personnel lacked formal practical WAH training and were unaware of approved anchor point requirements. Project planning and follow-up from onshore were insufficient, and the contractor equipment checklist process was not effectively applied. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Use of Tools, Equipment, Materials and Products: Improper use/position of tools/equipment/ materials/products PEOPLE (ACTS): Use of Protective Methods: Personal Protective Equipment not used or used improperly PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate work standards/procedures PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment"
IOGP-HPE-2025-038,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,11 Feb 2025,Norway,Production,Dropped objects,"Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,"In connection with a pigging operation on an offshore installation, several pigs weighing 35 - 40 kg were lowered from a scaffold using rope, as the pig receiver was placed 5m above the turret deck. When the last pig was being lowered, the knot loosened, and the pig fell onto the turret deck and then bounced outside the barrier and down onto the tank deck. No one was injured and there was no significant material damage.","Upon retrieval of rope between pigs, the rope was jammed onto a handrail mounting and loosening the knot onto the round sling. The rope and sling assembly had not been inspected after tugging it loose from its snag point and it is believed to have loosened the knot. The need to lower the pigs from the 5m high scaffold where the pigging took place was not included in planning and risk assessments. Issues of logistics and material handling were given too little consideration, special lifting expertise has not been sufficiently involved.","• Planning/risk assessment of operation - include logistic, not just the operation itself and ensure the right competence is included • Ensure that adequate area is properly cordoned off",PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment EUROPE OFFSHORE 36,"NARRATIVE: In connection with a pigging operation on an offshore installation, several pigs weighing 35 - 40 kg were lowered from a scaffold using rope, as the pig receiver was placed 5m above the turret deck. When the last pig was being lowered, the knot loosened, and the pig fell onto the turret deck and then bounced outside the barrier and down onto the tank deck. No one was injured and there was no significant material damage. | WHAT WENT WRONG: Upon retrieval of rope between pigs, the rope was jammed onto a handrail mounting and loosening the knot onto the round sling. The rope and sling assembly had not been inspected after tugging it loose from its snag point and it is believed to have loosened the knot. The need to lower the pigs from the 5m high scaffold where the pigging took place was not included in planning and risk assessments. Issues of logistics and material handling were given too little consideration, special lifting expertise has not been sufficiently involved. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Following Procedures: Improper lifting or loading PEOPLE (ACTS): Use of Protective Methods: Equipment or materials not secured PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment EUROPE OFFSHORE 36"
IOGP-HPE-2025-039,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,02 Apr 2025,Norway,Production,Dropped objects,"Lifting, crane, rigging, deck operations",Safe mechanical lifting,Line of fire,Collision between northern crane and derrick resulting in falling objects.,"Three objects fell after the north crane collided with the derrick. The crane operator had been planning to perform lubrication of the slewing ring with the logistics discipline responsible for some time, but this was changed to the crane operator bringing along a deck operator who was being trained as a crane-operator. A helicopter was on its way to the platform, and they had about 25 minutes to finish before the helicopter arrived. It was decided that the crane operator was to perform the lubrication in the crane pedestal while the deck operator operated the crane. The crane was lifted and swung out over the sea. The crane operator reminded to ""elevate the crane-boom"" to avoid the derrick and then went down into the pedestal. The deck operator elevated the boom and swung the crane towards the platform. After a brief stop to change the lubrication cartridge, the crane was topped up a little more before it swung further towards the derrick. The deck operator believed the boom was topped up enough. The walkway and the spotlight mounted on the right side of the boom were driven into the upper corner of the wind wall high up in the derrick. At the same time, the crane was lifted somewhat and detached from the tower. The crane shook, and the deck operator observed an object fall into an area where personnel were normally present. After receiving information about what had happened over the radio, the crane operator came to the cabin, took over, and lowered the crane into the cradle. The logistics discipline responsible heard what was being said on the radio, responded, and found the spotlight in a pallet with wooden lids in the moonpool area. A section of weather protection from the derrick was found a few minutes later, and a bracket for securing electrical cables was found three days later on a walkway one level above the moonpool area.",• Use of anti-collision systems on offshore cranes. • Certified safety training for crane operators. • A forum should be established where instructors and trainees can share experiences during the training process. • The management on installations that have personnel undergoing crane operator training should be informed and make this more visible within the organization.,PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Protective Systems: Inadequate/defective warning systems/safety devices PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication PROCESS (CONDITIONS): Organizational: Inadequate supervision EUROPE OFFSHORE 37,"NARRATIVE: Collision between northern crane and derrick resulting in falling objects. | WHAT WENT WRONG: Three objects fell after the north crane collided with the derrick. The crane operator had been planning to perform lubrication of the slewing ring with the logistics discipline responsible for some time, but this was changed to the crane operator bringing along a deck operator who was being trained as a crane-operator. A helicopter was on its way to the platform, and they had about 25 minutes to finish before the helicopter arrived. It was decided that the crane operator was to perform the lubrication in the crane pedestal while the deck operator operated the crane. The crane was lifted and swung out over the sea. The crane operator reminded to ""elevate the crane-boom"" to avoid the derrick and then went down into the pedestal. The deck operator elevated the boom and swung the crane towards the platform. After a brief stop to change the lubrication cartridge, the crane was topped up a little more before it swung further towards the derrick. The deck operator believed the boom was topped up enough. The walkway and the spotlight mounted on the right side of the boom were driven into the upper corner of the wind wall high up in the derrick. At the same time, the crane was lifted somewhat and detached from the tower. The crane shook, and the deck operator observed an object fall into an area where personnel were normally present. After receiving information about what had happened over the radio, the crane operator came to the cabin, took over, and lowered the crane into the cradle. The logistics discipline responsible heard what was being said on the radio, responded, and found the spotlight in a pallet with wooden lids in the moonpool area. A section of weather protection from the derrick was found a few minutes later, and a bracket for securing electrical cables was found three days later on a walkway one level above the moonpool area. | CAUSAL FACTORS: PEOPLE (ACTS): Following Procedures: Improper position (in the line of fire) PEOPLE (ACTS): Inattention/Lack of Awareness: Improper decision making or lack of judgment PROCESS (CONDITIONS): Protective Systems: Inadequate/defective warning systems/safety devices PROCESS (CONDITIONS): Organizational: Inadequate training/competence PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment PROCESS (CONDITIONS): Organizational: Inadequate communication PROCESS (CONDITIONS): Organizational: Inadequate supervision EUROPE OFFSHORE 37"
IOGP-HPE-2025-040,IOGP Safety performance indicators – 2025 data: High potential event reports,High Potential Event (HPE),1,Source document is an IOGP High Potential Event report,29 Aug 2025,Norway,Production,"Exposure noise, chemical, biological, vibration, extreme temperature","Maintenance, inspection, testing",Bypassing safety controls,Work authorization,"Two personnel experienced symptoms of severe oxygen deficiency during inspection work, but managed to self- evacuate safely. Subsequent measurements confirmed low oxygen levels inside the enclosure, linked to nitrogen ingress from the turbine seal system combined with a lack of ventilation.","The incident was triggered by nitrogen leakage from the seal system, which under normal ventilated conditions is harmless. However, following a planned emergency shutdown (ESD) and blackstart prior to shutdown period, key barriers were unavailable: ventilation remained off, and the fire dampers which require manual reopening, stayed closed. Without airflow, oxygen was gradually displaced overnight creating a hazardous atmosphere that posed a serious risk of unconsciousness and fatality.","Assess feasibility of installing fixed oxygen monitoring in the turbine enclosure and similar areas. If not feasible, require mandatory portable gas testing before entry into locations with potential oxygen depletion risk. Review and update the blackstart procedure to ensure turbine hood ventilation and dampers are restored before the area is reclassified as safe for entry. Revise PTW requirements for entries into the turbine enclosure during or after special operational states (e.g., blackstart, shutdown, or loss of HVAC). The PTW must account for potential atmospheric changes, with mandatory portable gas measurements under such conditions.","PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Work Place Hazards: Hazardous atmosphere (explosive/toxic/asphyxiant) PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment EUROPE OFFSHORE 38","NARRATIVE: Two personnel experienced symptoms of severe oxygen deficiency during inspection work, but managed to self- evacuate safely. Subsequent measurements confirmed low oxygen levels inside the enclosure, linked to nitrogen ingress from the turbine seal system combined with a lack of ventilation. | WHAT WENT WRONG: The incident was triggered by nitrogen leakage from the seal system, which under normal ventilated conditions is harmless. However, following a planned emergency shutdown (ESD) and blackstart prior to shutdown period, key barriers were unavailable: ventilation remained off, and the fire dampers which require manual reopening, stayed closed. Without airflow, oxygen was gradually displaced overnight creating a hazardous atmosphere that posed a serious risk of unconsciousness and fatality. | CAUSAL FACTORS: PROCESS (CONDITIONS): Protective Systems: Inadequate/defective guards or protective barriers PROCESS (CONDITIONS): Tools, Equipment, Materials and Products: Inadequate design/specification/management of change PROCESS (CONDITIONS): Work Place Hazards: Hazardous atmosphere (explosive/toxic/asphyxiant) PROCESS (CONDITIONS): Organizational: Inadequate hazard identification or risk assessment EUROPE OFFSHORE 38"
