synthetic_report_id,person_id,worker_role,report_date,site,report_type,activity,hazard,life_saving_rule,precursor_or_barrier_issue,potential_consequence,sif_potential,report_text,data_origin
SYN-OIL-017,EMP-1017,Supervisor,2025-10-24,Drilling Site,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a supervisor during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-018,EMP-1018,Technician,2024-12-03,Digboi Refinery,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a technician during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-019,EMP-1019,Operator,2025-12-04,Pipeline Station,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a operator during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-020,EMP-1020,Maintenance Worker,2024-01-28,Moran Field,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a maintenance worker during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-021,EMP-1021,Field Engineer,2026-01-16,Digboi Refinery,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a field engineer during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-022,EMP-1022,Supervisor,2025-10-23,Pipeline Station,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a supervisor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-023,EMP-1023,Contractor,2025-08-12,Pipeline Station,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a contractor during operations at Pipeline Station.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-024,EMP-1024,Field Engineer,2026-04-05,Gas Processing Unit,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a field engineer during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-025,EMP-1025,Field Engineer,2024-03-15,Drilling Site,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a field engineer during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-026,EMP-1026,Supervisor,2026-01-20,Drilling Site,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a supervisor during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-027,EMP-1027,Technician,2024-12-04,Moran Field,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a technician during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-028,EMP-1028,Supervisor,2024-10-17,Gas Processing Unit,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a supervisor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-029,EMP-1029,Field Engineer,2024-03-15,Duliajan Field,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a field engineer during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-030,EMP-1030,Contractor,2026-04-05,Moran Field,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a contractor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-031,EMP-1031,Contractor,2024-08-29,Gas Processing Unit,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a contractor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-032,EMP-1032,Field Engineer,2024-04-09,Digboi Refinery,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a field engineer during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-033,EMP-1033,Operator,2024-03-12,Digboi Refinery,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a operator during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-034,EMP-1034,Supervisor,2024-06-18,Gas Processing Unit,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a supervisor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-035,EMP-1035,Supervisor,2026-03-02,Digboi Refinery,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a supervisor during operations at Digboi Refinery.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-036,EMP-1036,Contractor,2024-11-09,Moran Field,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a contractor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-037,EMP-1037,Contractor,2025-01-03,Gas Processing Unit,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a contractor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-038,EMP-1038,Field Engineer,2025-01-11,Drilling Site,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a field engineer during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-039,EMP-1039,Field Engineer,2024-10-11,Drilling Site,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a field engineer during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-040,EMP-1040,Maintenance Worker,2024-06-09,Digboi Refinery,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a maintenance worker during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-041,EMP-1041,Technician,2025-12-20,Duliajan Field,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a technician during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-042,EMP-1042,Technician,2024-11-15,Pipeline Station,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a technician during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-043,EMP-1043,Supervisor,2024-08-02,Duliajan Field,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a supervisor during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-044,EMP-1044,Technician,2024-07-01,Gas Processing Unit,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a technician during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-045,EMP-1045,Contractor,2025-05-19,Moran Field,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a contractor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-046,EMP-1046,Operator,2024-06-26,Drilling Site,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a operator during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-047,EMP-1047,Technician,2025-03-03,Pipeline Station,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a technician during operations at Pipeline Station.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-048,EMP-1048,Contractor,2025-01-06,Digboi Refinery,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a contractor during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-049,EMP-1049,Maintenance Worker,2025-12-06,Duliajan Field,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a maintenance worker during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-050,EMP-1050,Supervisor,2024-01-15,Pipeline Station,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a supervisor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-051,EMP-1051,Contractor,2024-06-13,Gas Processing Unit,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a contractor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-052,EMP-1052,Field Engineer,2024-05-12,Moran Field,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a field engineer during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-053,EMP-1053,Field Engineer,2025-04-02,Duliajan Field,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a field engineer during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-054,EMP-1054,Operator,2024-06-28,Drilling Site,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a operator during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-055,EMP-1055,Field Engineer,2024-06-27,Duliajan Field,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a field engineer during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-056,EMP-1056,Maintenance Worker,2025-10-06,Duliajan Field,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a maintenance worker during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-057,EMP-1057,Operator,2024-09-17,Pipeline Station,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a operator during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-058,EMP-1058,Field Engineer,2024-12-13,Digboi Refinery,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a field engineer during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-059,EMP-1059,Technician,2024-10-27,Moran Field,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a technician during operations at Moran Field.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-060,EMP-1060,Operator,2025-08-08,Moran Field,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a operator during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-061,EMP-1061,Maintenance Worker,2025-06-29,Duliajan Field,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a maintenance worker during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-062,EMP-1062,Operator,2025-05-19,Duliajan Field,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a operator during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-063,EMP-1063,Supervisor,2024-01-08,Pipeline Station,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a supervisor during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-064,EMP-1064,Maintenance Worker,2025-04-11,Digboi Refinery,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a maintenance worker during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-065,EMP-1065,Technician,2025-11-23,Gas Processing Unit,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a technician during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-066,EMP-1066,Supervisor,2026-01-01,Drilling Site,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a supervisor during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-067,EMP-1067,Maintenance Worker,2024-12-20,Drilling Site,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a maintenance worker during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-068,EMP-1068,Field Engineer,2025-06-05,Pipeline Station,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a field engineer during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-069,EMP-1069,Operator,2024-12-02,Digboi Refinery,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a operator during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-070,EMP-1070,Maintenance Worker,2024-04-09,Gas Processing Unit,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a maintenance worker during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-071,EMP-1071,Operator,2026-04-12,Pipeline Station,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a operator during operations at Pipeline Station.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-072,EMP-1072,Field Engineer,2025-06-18,Digboi Refinery,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a field engineer during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-073,EMP-1073,Operator,2026-02-02,Pipeline Station,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a operator during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-074,EMP-1074,Supervisor,2024-04-03,Drilling Site,Near Miss,Lifting,Suspended load,Line of Fire,Exclusion zone breach,Crush injury,YES,Worker entered lifting exclusion zone while a suspended load was moving. Observation reported by a supervisor during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-075,EMP-1075,Field Engineer,2024-09-23,Digboi Refinery,Unsafe Condition,Confined Space Entry,Toxic/oxygen-deficient atmosphere,Confined Space,Gas testing failure,Asphyxiation,YES,Confined-space entry began before atmospheric testing was completed. Observation reported by a field engineer during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-076,EMP-1076,Supervisor,2025-07-24,Gas Processing Unit,Near Miss,Hot Work,Flammable vapour,Hot Work,Gas testing failure,Fire/explosion,YES,Hot work began near a hydrocarbon line without confirming gas-free conditions. Observation reported by a supervisor during operations at Gas Processing Unit.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-077,EMP-1077,Technician,2025-02-10,Moran Field,Unsafe Act,Work at Height,Fall from height,Working at Height,Fall protection failure,Fatal fall,YES,Technician worked at height with an improperly connected fall-arrest lanyard. Observation reported by a technician during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-078,EMP-1078,Contractor,2025-10-15,Drilling Site,Near Miss,Maintenance,Stored pressure,Energy Isolation,Pressure containment concern,High-pressure injection injury,YES,Operator noticed hydraulic leakage near pressurized equipment and stopped the job. Observation reported by a contractor during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-079,EMP-1079,Supervisor,2024-07-06,Duliajan Field,Near Miss,Material Handling,Vehicle movement,Line of Fire,Pedestrian segregation failure,Fatal struck-by injury,YES,Forklift reversed in a marked pedestrian zone; worker stepped away before contact. Observation reported by a supervisor during operations at Duliajan Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-080,EMP-1080,Supervisor,2025-10-12,Moran Field,Unsafe Condition,Inspection,Slip/environmental hazard,None/Other,Housekeeping issue,Minor slip or spill impact,NO,Small oil spill was observed inside a bund and was contained before reaching drainage. Observation reported by a supervisor during operations at Moran Field.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-081,EMP-1081,Field Engineer,2025-12-08,Pipeline Station,Unsafe Act,Warehouse Handling,Minor hand contact,Personal Protective Equipment,PPE non-compliance,Minor hand injury,NO,Worker was found without safety gloves while handling non-hazardous packaging. Observation reported by a field engineer during operations at Pipeline Station.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-082,EMP-1082,Technician,2025-03-30,Digboi Refinery,Unsafe Condition,Inspection,Low-severity maintenance issue,None/Other,Housekeeping issue,Minor injury unlikely,NO,Loose handrail paint was observed on an access staircase with no structural damage. Observation reported by a technician during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-083,EMP-1083,Maintenance Worker,2025-05-20,Drilling Site,Incident,Routine Maintenance,Hand tool,None/Other,Tool selection issue,Minor hand injury,NO,"A technician used the wrong wrench size, causing a small hand pinch with no lost time. Observation reported by a maintenance worker during operations at Drilling Site.",SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-084,EMP-1084,Technician,2026-01-14,Drilling Site,Unsafe Condition,Housekeeping,Emergency egress obstruction,Work Authorization,Emergency access obstruction,Delayed evacuation,YES,Emergency exit access was partially blocked by temporary material. Observation reported by a technician during operations at Drilling Site.,SYNTHETIC / DUMMY DATA - created for prototype development
SYN-OIL-085,EMP-1085,Contractor,2025-05-15,Digboi Refinery,Unsafe Act,Maintenance,Electrical energy,Energy Isolation,Isolation verification failure,Electrocution,YES,Pump maintenance started before electrical isolation was verified. Observation reported by a contractor during operations at Digboi Refinery.,SYNTHETIC / DUMMY DATA - created for prototype development
